0,Reserved
1,Port Service Multiplexer
2,Management Utility
3,Compression Process
4,Unassigned
5,Remote Job Entry
6,Unassigned
7,Echo
8,Unassigned
9,Discard
10,Unassigned
11,Active Users
12,Unassigned
13,Daytime (RFC 867)
14,Unassigned
15,Unassigned [was netstat]
16,Unassigned
17,Quote of the Day
18,Message Send Protocol
19,Character Generator
20,File Transfer [Default Data]
21,File Transfer [Control]
22,SSH Remote Login Protocol
23,Telnet
24,any private mail system
25,Simple Mail Transfer
26,Unassigned
27,NSW User System FE
28,Unassigned
29,MSG ICP
30,Unassigned
31,MSG Authentication
32,Unassigned
33,Display Support Protocol
34,Unassigned
35,any private printer server
36,Unassigned
37,Time / W32.Sober.I virus
38,Route Access Protocol
39,Resource Location Protocol
40,Unassigned
41,Graphics
42,Host Name Server
43,WhoIs
44,MPM FLAGS Protocol
45,Message Processing Module [recv]
46,MPM [default send]
47,NI FTP
48,Digital Audit Daemon
49,Login Host Protocol (TACACS)
50,Remote Mail Checking Protocol
51,IMP Logical Address Maintenance
52,XNS Time Protocol
53,Domain Name Server
54,XNS Clearinghouse
55,ISI Graphics Language
56,XNS Authentication
57,any private terminal access
58,XNS Mail
59,any private file service
60,Unassigned
61,NI MAIL
62,ACA Services
63,whois++
64,Communications Integrator (CI)
65,TACACS-Database Service
66,Oracle SQL*NET
67,Bootstrap Protocol Server
68,Bootstrap Protocol Client
69,Trivial File Transfer
70,Gopher
71,Remote Job Service
72,Remote Job Service
73,Remote Job Service
74,Remote Job Service
75,any private dial out service
76,Distributed External Object Store
77,any private RJE service
78,vettcp
79,Finger
80,World Wide Web HTTP
81,HOSTS2 Name Server / Bagle-AZ worm / Win32.Rbot worm
82,XFER Utility
83,MIT ML Device
84,Common Trace Facility
85,MIT ML Device
86,Micro Focus Cobol
87,any private terminal link
88,Kerberos
89,SU/MIT Telnet Gateway
90,DNSIX Securit Attribute Token Map
91,MIT Dover Spooler
92,Network Printing Protocol
93,Device Control Protocol
94,Tivoli Object Dispatcher
95,SUPDUP
96,DIXIE Protocol Specification
97,Swift Remote Virtural File Protocol
98,Linuxconf / TAC News
99,Metagram Relay
100,[unauthorized use]
101,NIC Host Name Server
102,MSExchangeMTA X.400 / ISO-TSAP Class 0
103,Genesis Point-to-Point Trans Net
104,ACR-NEMA Digital Imag. & Comm. 300
105,Mailbox Name Nameserver
106,3COM-TSMUX
107,Remote Telnet Service
108,SNA Gateway Access Server
109,Post Office Protocol - Version 2
110,Post Office Protocol - Version 3
111,SUN Remote Procedure Call
